id,region,distrito,latitud_a,longitud_a
407004,Arequipa, Alto Selva Alegre,-16.36901,-71.50785000000001
408004,Arequipa, Alto Selva Alegre,-16.37638,-71.51532
409004,Arequipa, Alto Selva Alegre,-16.37908,-71.52039000000001
410004,Arequipa, Alto Selva Alegre,-16.36453,-71.51926
411004,Arequipa, Alto Selva Alegre,-16.36754,-71.5018
412004,Arequipa, Alto Selva Alegre,-16.38148,-71.51505
413004,Arequipa, Aplao,-16.0553,-72.48732
414004,Arequipa, Arequipa,-16.39756,-71.54556
415004,Arequipa, Arequipa,-16.41227,-71.53017
416004,Arequipa, Arequipa,-16.40637,-71.52829
417004,Arequipa, Arequipa,-16.39384,-71.53436000000001
418004,Arequipa, Arequipa,-16.41702,-71.53743
419004,Arequipa, Arequipa,-16.41332,-71.52886
420004,Arequipa, Camaná,-16.61678,-72.70829999999999
421004,Arequipa, Camaná,-16.63708,-72.71148
422004,Arequipa, Caylloma,-15.18743,-71.7706
423004,Arequipa, Cayma,-16.38029,-71.5457
424004,Arequipa, Cayma,-16.32933,-71.54566
425004,Arequipa, Cayma,-16.31954,-71.53325
426004,Arequipa, Cayma,-16.33029,-71.54002
427004,Arequipa, Cayma,-16.34635,-71.55386
428004,Arequipa, Cayma,-16.34511,-71.54544
429004,Arequipa, Cayma,-16.34817,-71.55585000000001
430004,Arequipa, Cayma,-16.34967,-71.55252
431004,Arequipa, Cayma,-16.38338,-71.54803
432004,Arequipa, Cayma,-16.32756,-71.54586999999999
433004,Arequipa, Cayma,-16.38407,-71.5514
434004,Arequipa, Cayma,-16.30738,-71.52545000000001
435004,Arequipa, Cerro Colorado,-16.36584,-71.56433
436004,Arequipa, Cerro Colorado,-16.40276,-71.5737
437004,Arequipa, Cerro Colorado,-16.37774,-71.55618
438004,Arequipa, Cerro Colorado,-16.37896,-71.55636
439004,Arequipa, Cerro Colorado,-16.34506,-71.55878
440004,Arequipa, Cerro Colorado,-16.31445,-71.58238
441004,Arequipa, Cerro Colorado,-16.3377,-71.61642999999999
442004,Arequipa, Cerro Colorado,-16.36022,-71.6314
443004,Arequipa, Cerro Colorado,-16.39796,-71.56948
444004,Arequipa, Cerro Colorado,-16.32926,-71.55732999999999
445004,Arequipa, Cerro Colorado,-16.34722,-71.59981000000001
446004,Arequipa, Cerro Colorado,-16.31661,-71.55633
447004,Arequipa, Cerro Colorado,-16.31946,-71.54649000000001
448004,Arequipa, Cerro Colorado,-16.36099,-71.61673
449004,Arequipa, Chachas,-15.148305,-72.07227666
